loan_seq_number,credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mortgage_insurance_percentage,number_of_units,occupancy_status,original_combined_ltv,original_dti_ratio,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_flag,product_type,property_state,property_type,postal_code,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name,Prepay Percent,Home Price
F100Q1133530,748.0,1/1/2005,0,3/1/2030,,0.0,1.0,O,0.74,29.0,106000,0.74,0.05875,R,0,FIX30,IN,SF,47200,C,303,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.8654703945871942,143243.24324324325
F100Q1133531,641.0,3/1/2005,0,2/1/2035,19124.0,0.0,1.0,O,0.95,56.0,165000,0.8,0.05625,T,0,FIX30,TX,SF,75200,P,360,2.0,Other sellers,"WELLSFARGOBANK,NA",0.8891235021383149,206250.0
F100Q1133532,748.0,3/1/2005,1,2/1/2035,,0.0,1.0,O,0.79,23.0,70000,0.79,0.0575,T,0,FIX30,IL,SF,61400,P,360,1.0,Other sellers,"WELLSFARGOBANK,NA",0.9468752283537509,88607.59493670886
F100Q1133533,630.0,3/1/2005,0,2/1/2035,35644.0,0.0,2.0,O,0.51,45.0,147000,0.51,0.06,T,0,FIX30,NJ,SF,7000,C,360,2.0,Other sellers,"WELLSFARGOBANK,NA",0.9023529114866315,288235.29411764705
F100Q1133536,767.0,5/1/2005,0,4/1/2035,,0.0,1.0,O,0.8,57.0,197000,0.8,0.05375,T,0,FIX30,LA,SF,71000,N,360,2.0,Other sellers,Other servicers,0.8880538221877146,246250.0
F100Q1133540,633.0,5/1/2005,0,4/1/2035,16974.0,0.0,1.0,O,0.49,60.0,88000,0.49,0.0575,R,0,FIX30,IL,SF,60100,C,360,1.0,Other sellers,WASHINGTONMUTUALBANK,0.9882257591245118,179591.83673469388
F100Q1133542,748.0,6/1/2005,0,5/1/2035,40900.0,0.0,1.0,O,0.7,39.0,193000,0.7,0.05875,R,0,FIX30,CA,SF,95600,C,360,2.0,Other sellers,"WELLSFARGOBANK,NA",0.9150074919407419,275714.28571428574
F100Q1133543,797.0,5/1/2005,0,1/1/2031,,0.0,1.0,O,0.55,62.0,231000,0.55,0.055,R,0,FIX30,WA,SF,98300,P,309,2.0,Other sellers,Other servicers,0.9038588660174237,419999.99999999994
F100Q2203571,756.0,7/1/2005,0,6/1/2035,36740.0,0.0,1.0,O,0.78,24.0,120000,0.78,0.06,R,0,FIX30,FL,SF,32800,C,360,2.0,Other sellers,Other servicers,0.9459963914326708,153846.15384615384
F100Q2203577,795.0,8/1/2005,0,7/1/2035,12060.0,0.0,1.0,O,0.47,24.0,310000,0.47,0.0525,R,0,FIX30,GA,PU,30000,P,360,2.0,"BANKOFAMERICA,NA","BANKOFAMERICA,NA",0.9065716924403511,659574.4680851065
F100Q2203584,766.0,8/1/2005,0,5/1/2031,39540.0,0.0,1.0,O,0.48,27.0,235000,0.44,0.057249999999999995,R,0,FIX30,WI,SF,53400,N,310,2.0,Other sellers,Other servicers,0.9182878747769184,534090.9090909091
F100Q2203585,596.0,8/1/2005,0,7/1/2035,26420.0,0.25,1.0,O,0.95,26.0,174000,0.95,0.05625,T,0,FIX30,TX,SF,77000,P,360,2.0,COUNTRYWIDE,Other servicers,0.9289076152174806,183157.8947368421
