loan_seq_number,credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mortgage_insurance_percentage,number_of_units,occupancy_status,original_combined_ltv,original_dti_ratio,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_flag,product_type,property_state,property_type,postal_code,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name,Prepay Percent,Home Price
F102Q3454860,779.0,12/1/2005,0,10/1/2032,26420.0,0.0,1.0,O,0.52,41.0,283000,0.52,0.0625,R,0,FIX30,TX,PU,77000,P,323,1.0,Other sellers,Other servicers,0.9628346028673372,544230.7692307692
F102Q3454861,771.0,11/1/2005,0,10/1/2032,11700.0,0.0,1.0,O,0.69,9.0,93000,0.69,0.06125,R,0,FIX30,NC,SF,28700,N,324,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.8788029938673917,134782.6086956522
F102Q3454862,767.0,10/1/2005,0,9/1/2032,28700.0,0.0,1.0,O,0.64,25.0,110000,0.64,0.06375,R,0,FIX30,VA,SF,24200,C,324,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.9465800328438613,171875.0
F102Q3454863,675.0,12/1/2005,0,10/1/2032,,0.0,1.0,O,0.5,50.0,284000,0.5,0.0625,R,0,FIX30,OK,SF,74300,P,323,1.0,Other sellers,Other servicers,0.9661041598165482,568000.0
F102Q3454864,697.0,12/1/2005,0,8/1/2032,,0.0,1.0,O,0.78,40.0,241000,0.78,0.0645,R,0,FIX30,IN,SF,47300,P,321,1.0,Other sellers,Other servicers,0.8601706178881948,308974.35897435894
F102Q3454892,705.0,5/1/2005,0,4/1/2035,,0.0,1.0,O,0.72,45.0,118000,0.72,0.06625,R,0,FIX30,PR,SF,700,N,360,1.0,Other sellers,Other servicers,-0.0010756520271581107,163888.8888888889
F102Q3454901,663.0,12/1/2005,0,9/1/2032,,0.3,1.0,O,0.91,41.0,64000,0.91,0.065,R,0,FIX30,NC,SF,27800,N,322,1.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.9355550438608496,70329.67032967033
F102Q3454902,730.0,12/1/2005,0,10/1/2032,24860.0,0.0,1.0,O,0.73,20.0,138000,0.73,0.065,R,0,FIX30,SC,SF,29600,N,323,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,-0.005018601091441549,189041.09589041097
F102Q3454925,819.0,2/1/2006,0,1/1/2036,42680.0,0.0,1.0,O,0.39,32.0,122000,0.39,0.065,T,0,FIX30,FL,PU,32900,N,360,1.0,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA",0.003224940414528347,312820.5128205128
F102Q3454931,752.0,2/1/2006,1,8/1/2032,44140.0,0.0,1.0,O,0.75,20.0,156000,0.75,0.06495000000000001,R,0,FIX30,MA,SF,1000,P,319,2.0,Other sellers,Other servicers,0.8801589787919063,208000.0
F102Q3454933,741.0,2/1/2006,0,1/1/2036,,0.0,1.0,O,0.34,52.0,385000,0.34,0.05875,R,0,FIX30,HI,SF,96700,N,360,2.0,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA",0.9808459106612529,1132352.9411764706
F102Q3454936,695.0,9/1/2005,0,3/1/2033,,0.0,1.0,O,0.77,21.0,121000,0.77,0.06,R,0,FIX30,PA,SF,16800,P,331,2.0,Other sellers,Other servicers,0.9197509192345661,157142.85714285713
F102Q3454970,736.0,1/1/2005,0,1/1/2033,49620.0,0.0,1.0,O,0.69,34.0,97000,0.69,0.0575,R,0,FIX30,PA,SF,17300,P,337,2.0,Other sellers,Other servicers,0.9733626632408583,140579.71014492755
F102Q3454982,788.0,1/1/2005,0,2/1/2033,38300.0,0.25,1.0,O,0.86,34.0,84000,0.86,0.0575,R,0,FIX30,PA,SF,16200,N,338,2.0,Other sellers,Other servicers,0.01033648892047601,97674.41860465116
F102Q3455198,659.0,5/1/2006,0,4/1/2036,34740.0,0.0,1.0,O,0.77,27.0,145000,0.77,0.065,R,0,FIX30,MI,SF,49400,N,360,2.0,Other sellers,Other servicers,0.9652391193920847,188311.6883116883
F102Q3455199,794.0,8/1/2006,0,7/1/2036,42644.0,0.0,1.0,O,0.39,50.0,213000,0.39,0.0687,R,0,FIX30,WA,SF,98200,P,360,1.0,Other sellers,Other servicers,0.990549342490224,546153.8461538461
F102Q3455200,741.0,9/1/2006,0,3/1/2033,11020.0,0.25,1.0,O,0.85,45.0,72000,0.85,0.06945,R,0,FIX30,PA,SF,16600,C,319,1.0,Other sellers,Other servicers,-0.005218330460339188,84705.88235294117
F102Q3455201,795.0,10/1/2006,0,10/1/2032,11020.0,0.0,1.0,O,0.15,15.0,18000,0.15,0.06655,R,0,FIX30,PA,SF,16600,P,313,1.0,Other sellers,Other servicers,0.9614953595249959,120000.0
F102Q3455225,761.0,10/1/2006,0,10/1/2032,46540.0,0.25,1.0,O,0.85,19.0,63000,0.85,0.06875,R,0,FIX30,NY,SF,13400,C,313,1.0,Other sellers,Other servicers,0.9715468793234501,74117.64705882352
F102Q3455226,711.0,10/1/2006,1,9/1/2032,45060.0,0.25,1.0,O,0.82,36.0,116000,0.82,0.07,R,0,FIX30,NY,SF,13200,P,312,2.0,Other sellers,Other servicers,0.9717197070730123,141463.41463414635
F102Q3455260,758.0,10/1/2006,0,9/1/2032,,0.0,1.0,O,0.57,41.0,80000,0.57,0.0675,R,0,FIX30,WI,SF,53900,P,312,2.0,Other sellers,Other servicers,0.9055777625332015,140350.87719298247
F102Q3455263,757.0,11/1/2006,0,11/1/2032,45060.0,0.25,1.0,O,0.84,40.0,91000,0.84,0.0675,R,0,FIX30,NY,SF,13400,N,313,2.0,Other sellers,Other servicers,0.9564742185682251,108333.33333333334
F102Q3455264,761.0,11/1/2006,1,10/1/2032,,0.0,1.0,O,0.35,14.0,89000,0.35,0.065,R,0,FIX30,TX,SF,77400,P,312,2.0,Other sellers,Other servicers,0.15155573656595775,254285.7142857143
F102Q3455273,695.0,11/1/2006,0,10/1/2032,37460.0,0.0,1.0,O,0.76,35.0,113000,0.76,0.0675,R,0,FIX30,FL,SF,32400,N,312,1.0,Other sellers,Other servicers,-0.0036168359014914454,148684.2105263158
F102Q3455284,692.0,7/1/2006,0,9/1/2032,47644.0,0.0,1.0,O,0.73,33.0,136000,0.73,0.06875,R,0,FIX30,MI,MH,48800,P,315,2.0,Other sellers,Other servicers,0.9279698032250934,186301.3698630137
F102Q3455317,722.0,11/1/2006,0,9/1/2032,34820.0,0.0,1.0,O,0.23,56.0,90000,0.23,0.07125,R,0,FIX30,SC,SF,29500,P,311,1.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.9762525899839547,391304.3478260869
F102Q3455337,755.0,1/1/2007,0,12/1/2036,10580.0,0.25,1.0,O,0.9,31.0,117000,0.9,0.0675,T,0,FIX30,NY,SF,12100,N,360,2.0,Other sellers,Other servicers,0.9216969253906131,130000.0
F102Q3455338,796.0,6/1/2006,0,9/1/2032,,0.0,1.0,O,0.56,54.0,300000,0.56,0.05875,R,0,FIX30,MI,SF,49700,P,316,2.0,Other sellers,Other servicers,0.9523507797397082,535714.2857142857
F102Q3455364,687.0,10/1/2006,0,9/1/2036,12620.0,0.0,1.0,O,0.66,33.0,125000,0.66,0.07,R,0,FIX30,ME,SF,4400,C,360,2.0,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA",0.006540546252725629,189393.9393939394
F102Q3455370,726.0,12/1/2006,0,12/1/2032,,0.25,1.0,O,0.82,39.0,76000,0.82,0.0675,R,0,FIX30,NY,SF,13400,N,313,2.0,Other sellers,Other servicers,0.9456844653408656,92682.9268292683
F102Q3455389,751.0,2/1/2007,0,5/1/2033,,0.0,1.0,O,0.82,29.0,132000,0.68,0.06125,R,0,FIX30,OH,SF,44400,N,316,2.0,Other sellers,Other servicers,0.9119426203021851,194117.64705882352
F102Q3455390,754.0,3/1/2007,0,10/1/2032,26420.0,0.0,1.0,O,0.64,29.0,224000,0.64,0.06625,R,0,FIX30,TX,PU,77300,N,308,2.0,Other sellers,Other servicers,0.9372795621552875,350000.0
F102Q3455394,723.0,11/1/2006,0,9/1/2032,27900.0,0.0,3.0,O,0.73,33.0,176000,0.73,0.0675,R,0,FIX30,MO,SF,64800,N,311,2.0,USBANKNA,USBANKNA,0.00015336170294844787,241095.8904109589
F102Q3455397,777.0,4/1/2007,0,10/1/2032,,0.0,1.0,I,0.71,5.0,63000,0.71,0.0675,R,0,FIX30,SC,CO,29500,N,307,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.9526873098388307,88732.39436619719
F102Q3455429,746.0,6/1/2007,0,9/1/2032,31540.0,0.0,1.0,O,0.47,55.0,63000,0.47,0.06625,R,0,FIX30,WI,SF,53700,P,304,2.0,Other sellers,Other servicers,7.722550948923823e-05,134042.55319148937
F102Q3455435,773.0,10/1/2007,0,10/1/2032,26420.0,0.0,1.0,O,0.73,36.0,211000,0.73,0.06625,R,0,FIX30,TX,PU,77400,P,301,2.0,Other sellers,Other servicers,0.9690838186137488,289041.09589041094
F102Q3455438,704.0,12/1/2005,0,10/1/2032,31140.0,0.0,1.0,O,0.74,32.0,122000,0.74,0.06,R,0,FIX30,KY,SF,40000,N,323,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9408372354174057,164864.86486486488
F102Q3455440,817.0,11/1/2005,0,9/1/2032,34940.0,0.0,1.0,O,0.48,50.0,223000,0.48,0.06,R,0,FIX30,FL,SF,34100,N,323,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9406560829339097,464583.3333333334
F102Q3455441,790.0,12/1/2005,0,10/1/2032,31140.0,0.0,1.0,O,0.49,26.0,80000,0.49,0.06,R,0,FIX30,KY,SF,40200,N,323,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.8879225959279574,163265.306122449
F102Q3455442,802.0,12/1/2005,0,10/1/2032,21780.0,0.0,1.0,O,0.61,15.0,152000,0.61,0.06,R,0,FIX30,IN,SF,47600,N,323,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9452074701623523,249180.32786885247
F102Q3455443,750.0,12/1/2005,0,10/1/2032,47644.0,0.0,1.0,O,0.71,50.0,114000,0.71,0.06125,R,0,FIX30,MI,SF,48000,C,323,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9695717452899388,160563.38028169016
F102Q3455444,738.0,12/1/2005,0,10/1/2032,19380.0,0.0,1.0,O,0.77,53.0,160000,0.77,0.06125,R,0,FIX30,OH,SF,45300,N,323,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.891960128688345,207792.20779220777
F102Q3455445,736.0,11/1/2005,0,9/1/2032,16974.0,0.0,1.0,O,0.73,43.0,123000,0.73,0.06125,R,0,FIX30,IL,SF,60400,N,323,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9335544721101867,168493.15068493152
F102Q3455446,714.0,12/1/2005,0,10/1/2032,45780.0,0.0,1.0,O,0.7,40.0,79000,0.7,0.06375,R,0,FIX30,OH,SF,43600,C,323,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9495635032911687,112857.14285714287
F102Q3455447,759.0,3/1/2006,0,8/1/2032,26100.0,0.0,1.0,O,0.71,44.0,126000,0.71,0.065,R,0,FIX30,MI,SF,49400,C,318,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9879115341497414,177464.78873239437
F102Q3455448,792.0,10/1/2006,1,7/1/2032,45780.0,0.0,1.0,O,0.37,31.0,138000,0.37,0.0675,R,0,FIX30,OH,SF,43600,P,310,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9626656073231187,372972.97297297296
F102Q3455449,798.0,10/1/2006,0,8/1/2032,18140.0,0.0,1.0,O,0.44,36.0,109000,0.44,0.0675,R,0,FIX30,OH,SF,43100,N,311,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9316161507280644,247727.27272727274
F102Q3455450,761.0,10/1/2006,1,3/1/2033,,0.3,1.0,O,0.89,43.0,143000,0.89,0.0675,R,0,FIX30,OH,SF,45800,P,318,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.978320468542517,160674.1573033708
F102Q3455451,799.0,11/1/2006,0,10/1/2032,18140.0,0.0,1.0,O,0.63,30.0,123000,0.63,0.0675,R,0,FIX30,OH,SF,43000,C,312,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9721801934133003,195238.09523809524
F102Q3455452,784.0,8/1/2006,0,10/1/2032,26100.0,0.0,1.0,O,0.68,37.0,129000,0.68,0.06875,R,0,FIX30,MI,SF,49400,N,315,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9925072589346826,189705.88235294117
F102Q3455453,753.0,8/1/2006,1,10/1/2032,45780.0,0.0,1.0,O,0.39,35.0,68000,0.39,0.06875,R,0,FIX30,OH,CO,43500,P,315,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.99122322017608,174358.97435897434
F102Q3455471,619.0,10/1/2006,1,8/1/2032,44140.0,0.3,1.0,O,0.89,18.0,106000,0.89,0.06915,R,0,FIX30,MA,SF,1300,P,311,2.0,Other sellers,Other servicers,0.9689836573782536,119101.12359550562
F102Q3455498,701.0,1/1/2005,0,10/1/2032,44140.0,0.3,1.0,O,0.92,19.0,115000,0.92,0.05785,R,0,FIX30,MA,SF,1300,P,334,2.0,Other sellers,Other servicers,0.8960808021684686,125000.0
F102Q3456240,813.0,4/1/2007,0,9/1/2032,15804.0,0.0,1.0,O,0.8,13.0,69000,0.74,0.0662,R,1,FIX30,NJ,CO,8000,P,306,1.0,Other sellers,"WELLSFARGOBANK,NA",0.25113665296494825,93243.24324324324
F102Q3456241,741.0,6/1/2007,0,8/1/2032,12420.0,0.0,1.0,S,0.7,23.0,78000,0.54,0.069,R,0,FIX30,TX,CO,78700,P,303,2.0,Other sellers,"WELLSFARGOBANK,NA",0.9477360697053031,144444.44444444444
F102Q3456242,794.0,5/1/2007,1,9/1/2032,38060.0,0.0,1.0,O,0.91,28.0,140000,0.73,0.0675,R,1,FIX30,AZ,PU,85300,P,305,1.0,Other sellers,"WELLSFARGOBANK,NA",0.9737243357319919,191780.82191780824
F102Q3456243,731.0,4/1/2007,1,7/1/2032,,0.0,1.0,O,0.9,30.0,215000,0.76,0.0676,R,1,FIX30,NJ,SF,7000,P,304,2.0,Other sellers,Other servicers,0.9928851636383843,282894.7368421053
F102Q3456244,732.0,11/1/2006,1,8/1/2032,26420.0,0.0,1.0,O,0.78,24.0,113000,0.72,0.06849999999999999,B,1,FIX30,TX,PU,77400,P,310,1.0,Other sellers,"WELLSFARGOBANK,NA",0.0682810649757849,156944.44444444444
F102Q3456245,768.0,1/1/2007,0,9/1/2032,40900.0,0.0,1.0,O,0.52,26.0,146000,0.42,0.06709999999999999,R,1,FIX30,CA,SF,95700,C,309,2.0,Other sellers,"WELLSFARGOBANK,NA",0.05412030813806733,347619.04761904763
F102Q3456263,731.0,9/1/2005,0,9/1/2032,,0.0,1.0,S,0.8,35.0,211000,0.77,0.05875,R,0,FIX30,MI,SF,49300,P,325,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9541392447038824,274025.974025974
F102Q3456339,670.0,2/1/2005,0,10/1/2032,15380.0,0.0,1.0,O,0.83,,95000,0.83,0.0461,R,0,FIX30,NY,SF,14000,C,333,1.0,Other sellers,Other servicers,0.9786373230154682,114457.83132530122
F102Q3456341,783.0,9/1/2005,0,9/1/2032,35004.0,0.0,1.0,O,0.65,,205000,0.63,0.044800000000000006,R,0,FIX30,NY,SF,11500,P,325,2.0,Other sellers,Other servicers,0.0790535945432104,325396.8253968254
F102Q3456342,773.0,5/1/2005,0,9/1/2032,35644.0,0.0,1.0,O,0.65,,289000,0.63,0.0463,R,0,FIX30,NJ,CO,7000,P,329,1.0,Other sellers,Other servicers,0.9408451473984052,458730.1587301587
F102Q3456465,703.0,4/1/2006,0,8/1/2032,19180.0,0.0,1.0,O,0.85,50.0,91000,0.83,0.0735,C,1,FIX30,IL,SF,61800,C,317,2.0,Other sellers,"CITIMORTGAGE,INC",0.06232216523578932,109638.55421686747
F102Q3456502,587.0,1/1/2005,0,9/1/2032,24660.0,0.0,1.0,O,0.78,16.0,67000,0.78,0.0725,R,0,FIX30,NC,SF,27400,C,333,1.0,Other sellers,"CITIMORTGAGE,INC",0.07332279005030348,85897.43589743589
F102Q4525662,675.0,6/1/2005,0,5/1/2035,,0.0,1.0,S,0.8,41.0,260000,0.8,0.06375,T,0,FIX30,NC,SF,28600,N,360,2.0,Other sellers,Other servicers,0.9152679961916619,325000.0
F102Q4525697,737.0,3/1/2005,0,2/1/2035,19660.0,0.0,1.0,O,0.56,41.0,276000,0.56,0.0575,R,0,FIX30,FL,SF,32700,P,360,2.0,Other sellers,Other servicers,0.8702946757191218,492857.1428571428
F102Q4525824,706.0,1/1/2005,0,12/1/2032,11020.0,0.0,1.0,O,0.65,48.0,103000,0.65,0.05885,R,0,FIX30,PA,SF,16600,C,336,2.0,Other sellers,Other servicers,0.8884010282870485,158461.53846153847
F102Q4525866,711.0,1/1/2005,0,11/1/2033,25860.0,0.25,1.0,O,0.8,30.0,161000,0.8,0.06,R,0,FIX30,NC,SF,28600,P,347,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.9031661790571528,201250.0
F102Q4525867,787.0,1/1/2005,0,1/1/2034,43900.0,0.0,1.0,O,0.78,35.0,92000,0.78,0.05625,R,0,FIX30,SC,SF,29300,P,349,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.857346284940321,117948.71794871794
F102Q4525868,716.0,2/1/2005,0,4/1/2033,,0.12,1.0,O,0.83,44.0,257000,0.83,0.05795,R,0,FIX30,PA,SF,16800,N,339,2.0,Other sellers,Other servicers,0.9028944775836459,309638.5542168675
F102Q4525870,773.0,1/1/2005,0,11/1/2032,46140.0,0.0,1.0,O,0.51,25.0,249000,0.51,0.0575,R,0,FIX30,OK,SF,74000,N,335,1.0,Other sellers,Other servicers,0.9647391163457066,488235.29411764705
F102Q4525923,757.0,2/1/2005,0,7/1/2033,33340.0,0.0,1.0,O,0.74,29.0,125000,0.74,0.05875,R,0,FIX30,WI,SF,53000,P,342,2.0,Other sellers,Other servicers,0.943971775583286,168918.91891891893
F102Q4525961,776.0,2/1/2005,0,12/1/2032,,0.0,1.0,O,0.73,24.0,148000,0.73,0.05875,R,0,FIX30,OK,SF,74000,P,335,2.0,Other sellers,Other servicers,-0.005226671207309005,202739.72602739726
F102Q4525962,776.0,2/1/2005,0,1/1/2033,11260.0,0.0,1.0,O,0.45,15.0,195000,0.45,0.05875,R,0,FIX30,AK,SF,99500,C,336,2.0,Other sellers,Other servicers,0.8862336171811325,433333.3333333333
F102Q4525964,700.0,2/1/2005,0,12/1/2033,,0.0,1.0,O,0.66,47.0,250000,0.66,0.05875,R,0,FIX30,WV,PU,25800,P,347,2.0,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC,0.9191013959300954,378787.8787878788
F102Q4525965,791.0,2/1/2005,0,12/1/2032,,0.3,1.0,O,0.85,30.0,211000,0.85,0.05875,R,0,FIX30,OK,SF,74000,P,335,2.0,Other sellers,Other servicers,0.9743692820798775,248235.29411764708
F102Q4525969,796.0,2/1/2005,0,12/1/2032,29404.0,0.0,1.0,O,0.67,20.0,251000,0.67,0.05875,T,0,FIX30,WI,SF,53100,P,335,2.0,Other sellers,Other servicers,0.9062533895265751,374626.8656716418
F102Q4525970,792.0,2/1/2005,0,1/1/2035,,0.0,1.0,O,0.57,28.0,360000,0.57,0.0625,T,0,FIX30,DE,SF,19900,C,360,2.0,Other sellers,Other servicers,0.9952076252034039,631578.9473684211
F102Q4525971,701.0,3/1/2005,0,12/1/2032,26420.0,0.0,1.0,O,0.77,22.0,229000,0.77,0.05875,R,0,FIX30,TX,PU,77000,P,334,1.0,Other sellers,Other servicers,0.9270851878507431,297402.59740259737
F102Q4526087,803.0,3/1/2005,0,3/1/2033,45060.0,0.25,1.0,O,0.86,33.0,128000,0.86,0.06,R,0,FIX30,NY,SF,13100,N,337,2.0,Other sellers,Other servicers,0.905056221942618,148837.2093023256
F102Q4526089,685.0,3/1/2005,0,1/1/2033,,0.0,1.0,O,0.7,29.0,289000,0.65,0.05875,R,0,FIX30,OK,SF,74000,P,335,2.0,Other sellers,Other servicers,0.8821211765335112,444615.3846153846
F102Q4526092,764.0,3/1/2005,0,1/1/2033,26420.0,0.0,1.0,O,0.77,33.0,220000,0.77,0.05875,R,0,FIX30,TX,PU,77000,P,335,1.0,Other sellers,Other servicers,0.8491028218339648,285714.2857142857
F102Q4526093,755.0,2/1/2005,0,1/1/2035,,0.12,1.0,O,0.82,42.0,138000,0.82,0.05875,R,0,FIX30,NY,SF,13800,N,360,1.0,Other sellers,Other servicers,0.00042433009976665566,168292.68292682926
F102Q4526095,788.0,1/1/2005,0,1/1/2033,14020.0,0.0,1.0,O,0.53,26.0,130000,0.53,0.05875,R,0,FIX30,IN,SF,47400,N,337,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.931555043243799,245283.01886792452
F102Q4526098,745.0,1/1/2005,0,11/1/2032,45780.0,0.0,1.0,O,0.63,39.0,224000,0.63,0.05875,R,0,FIX30,OH,SF,43500,N,335,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9668286485755022,355555.55555555556
F102Q4526099,746.0,2/1/2005,0,11/1/2032,23844.0,0.0,1.0,O,0.71,47.0,170000,0.71,0.05875,R,0,FIX30,IN,SF,46300,N,334,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9268320258337646,239436.61971830987
F102Q4526148,746.0,4/1/2005,0,3/1/2033,,0.0,1.0,O,0.69,50.0,155000,0.69,0.05875,R,0,FIX30,NY,SF,13400,N,336,1.0,Other sellers,Other servicers,0.9202165759111478,224637.68115942032
F102Q4526150,688.0,2/1/2005,0,1/1/2035,12580.0,0.12,1.0,O,0.82,47.0,280000,0.82,0.06375,T,0,FIX30,MD,SF,20700,N,360,2.0,Other sellers,Other servicers,0.9981304637241071,341463.4146341464
F102Q4526157,741.0,4/1/2005,0,1/1/2033,29940.0,0.0,1.0,O,0.77,39.0,158000,0.77,0.05875,R,0,FIX30,KS,SF,66000,N,334,2.0,Other sellers,Other servicers,0.9053258765481522,205194.8051948052
F102Q4526176,656.0,3/1/2005,0,2/1/2035,33460.0,0.0,1.0,O,0.79,46.0,230000,0.79,0.06,T,0,FIX30,MN,SF,55400,P,360,1.0,"ABNAMROMTGEGROUP,INC","CITIMORTGAGE,INC",0.0022283618384215985,291139.2405063291
F102Q4526182,768.0,3/1/2005,0,1/1/2033,,0.0,1.0,O,0.72,15.0,97000,0.72,0.06,R,0,FIX30,OH,SF,45800,N,335,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.8584815153637178,134722.22222222222
F102Q4526183,756.0,3/1/2005,0,11/1/2032,15980.0,0.0,1.0,O,0.72,29.0,121000,0.72,0.06,R,0,FIX30,FL,PU,34100,C,333,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.0017418975069571564,168055.55555555556
F102Q4526186,667.0,4/1/2005,0,1/1/2033,,0.0,1.0,O,0.78,42.0,123000,0.72,0.06,R,0,FIX30,MI,SF,49600,N,334,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.9843016695406903,170833.33333333334
F102Q4526187,739.0,2/1/2005,0,1/1/2033,34740.0,0.0,1.0,O,0.55,29.0,82000,0.55,0.06125,R,0,FIX30,MI,SF,49400,C,336,1.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.985846142673182,149090.9090909091
F102Q4526189,691.0,5/1/2005,0,4/1/2035,45104.0,0.0,1.0,O,0.66,46.0,228000,0.66,0.06,R,0,FIX30,WA,SF,98300,P,360,2.0,Other sellers,Other servicers,0.9812801301890783,345454.5454545454
F102Q4526192,767.0,5/1/2005,0,11/1/2032,26420.0,0.0,1.0,S,0.58,25.0,235000,0.58,0.06375,R,0,FIX30,TX,PU,77300,P,331,2.0,Other sellers,Other servicers,0.9765994086666103,405172.4137931035
F102Q4526356,740.0,6/1/2005,0,5/1/2035,37380.0,0.35,1.0,S,0.95,19.0,107000,0.95,0.06,T,0,FIX30,FL,PU,32100,P,360,2.0,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA",0.9969984566490978,112631.57894736843
F102Q4526357,736.0,7/1/2005,0,6/1/2035,,0.0,1.0,O,0.57,27.0,160000,0.57,0.055999999999999994,R,0,FIX30,WA,SF,98300,P,360,2.0,Other sellers,Other servicers,0.9879261338268789,280701.75438596494
F102Q4526358,767.0,6/1/2005,0,1/1/2033,39300.0,0.0,1.0,O,0.57,35.0,241000,0.57,0.05875,R,0,FIX30,RI,SF,2800,P,332,2.0,Other sellers,Other servicers,0.9951162428516601,422807.01754385966
F102Q4526482,688.0,8/1/2005,0,11/1/2032,46540.0,0.3,1.0,O,0.91,35.0,156000,0.91,0.06,R,0,FIX30,NY,SF,13400,P,328,2.0,Other sellers,Other servicers,0.871546456838754,171428.57142857142
F102Q4526547,722.0,9/1/2005,0,2/1/2033,26900.0,0.0,1.0,O,0.74,33.0,209000,0.74,0.06,R,0,FIX30,IN,SF,46100,P,330,2.0,Other sellers,Other servicers,0.9464866435442096,282432.4324324324
F102Q4526548,803.0,8/1/2005,0,12/1/2032,38060.0,0.0,1.0,O,0.27,,104000,0.27,0.06,T,0,FIX30,AZ,SF,85200,P,329,2.0,Other sellers,Other servicers,0.9602538779119091,385185.18518518517
F102Q4526553,725.0,7/1/2005,0,6/1/2035,49660.0,0.0,1.0,O,0.8,28.0,81000,0.8,0.065,R,0,FIX30,OH,MH,44400,N,360,2.0,NATLCITYMTGECO,Other servicers,0.9344538061296237,101250.0
F102Q4526584,547.0,5/1/2005,0,4/1/2035,,0.3,1.0,O,0.9,40.0,134000,0.9,0.07125,T,0,FIX30,VA,SF,22500,N,360,2.0,Other sellers,Other servicers,0.00017165826284908198,148888.88888888888
F102Q4526602,673.0,9/1/2005,0,8/1/2035,44700.0,0.0,1.0,O,0.8,,288000,0.8,0.0575,R,0,FIX30,CA,SF,95200,P,360,2.0,NATLCITYMTGECO,NATLCITYMTGECO,0.9814466267678925,360000.0
F102Q4526603,709.0,10/1/2005,0,11/1/2032,26420.0,0.0,1.0,O,0.76,28.0,212000,0.76,0.06,R,0,FIX30,TX,PU,77000,P,326,2.0,Other sellers,Other servicers,0.9510849172665405,278947.36842105264
F102Q4526604,727.0,10/1/2005,0,9/1/2035,20764.0,0.0,1.0,O,0.8,34.0,290000,0.8,0.0625,R,0,FIX30,NJ,SF,8700,N,360,2.0,Other sellers,Other servicers,0.8966066610042224,362500.0
F102Q4526605,757.0,10/1/2005,0,9/1/2035,40900.0,0.0,1.0,O,0.39,47.0,137000,0.39,0.07,R,0,FIX30,CA,MH,95600,N,360,2.0,WELLSFARGOHOMEMORTGA,"WELLSFARGOBANK,NA",0.9958635158901696,351282.05128205125
F102Q4526608,690.0,4/1/2005,0,10/1/2032,17140.0,0.0,1.0,O,0.73,12.0,129000,0.73,0.05625,R,0,FIX30,OH,SF,45200,N,331,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,0.007372204540563302,176712.32876712328
F102Q4526609,684.0,6/1/2005,0,12/1/2032,,0.0,1.0,S,0.38,25.0,94000,0.38,0.0625,R,0,FIX30,IN,SF,46500,N,331,2.0,FIFTHTHIRDBANK,FIFTHTHIRDBANK,-0.0003368133260674602,247368.42105263157
