loan_seq_number,credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mortgage_insurance_percentage,number_of_units,occupancy_status,original_combined_ltv,original_dti_ratio,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_flag,product_type,property_state,property_type,postal_code,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name
F103Q2570789,733,5/1/2008,Y,6/1/2033,26900,25,1,O,90,48,141000,81,5.875,R,N,FIX30,IN,PU,46000,P,302,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F103Q2570790,747,4/1/2008,Y,6/1/2033,17140,0,1,O,80,47,175000,74,5.875,R,N,FIX30,OH,SF,45200,P,303,1,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F103Q2570791,776,5/1/2008,N,6/1/2033,16620,0,1,O,84,20,65000,74,5.875,R,N,FIX30,WV,CO,25300,P,302,1,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F103Q2570808,716,6/1/2005,Y,7/1/2033,15380,0,2,O,80,,38000,77,5.25,R,N,FIX30,NY,SF,14200,P,338,1,HSBCMTGECORPUSA,Other servicers
F103Q2571489,727,6/1/2009,N,5/1/2039,,0,1,O,45,43,145000,45,5.125,R,N,FIX30,WA,SF,98500,P,360,1,Other sellers,Other servicers
F103Q2571497,779,9/1/2005,N,7/1/2032,,0,1,O,68,19,152000,38,5.625,R,N,FIX30,CT,SF,6700,C,323,2,Other sellers,Other servicers
F103Q2571498,792,8/1/2005,N,6/1/2033,,0,1,O,49,54,336000,40,5.75,R,N,FIX30,CT,SF,6700,C,335,1,Other sellers,Other servicers
F103Q2573037,670,9/1/2006,N,7/1/2033,31140,0,1,O,89,50,186000,85,7.6,C,Y,FIX30,KY,SF,40200,C,323,2,Other sellers,"CITIMORTGAGE,INC"
F103Q2573064,672,2/1/2007,N,6/1/2033,30780,0,1,O,95,36,154000,93,8.65,C,Y,FIX30,AR,SF,72100,C,317,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573075,755,1/1/2007,N,6/1/2033,16700,0,1,O,95,43,182000,91,8.1,C,Y,FIX30,SC,SF,29400,C,318,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573127,707,5/1/2006,N,5/1/2033,43620,0,1,O,75,36,104000,75,6.75,R,Y,FIX30,SD,SF,57000,C,325,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573141,695,2/1/2007,N,6/1/2033,,0,1,O,100,43,51000,78,7.1,C,Y,FIX30,IN,SF,47300,P,317,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573151,619,9/1/2005,N,7/1/2033,12940,0,1,O,90,40,79000,88,7.05,B,Y,FIX30,LA,SF,70800,C,335,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573154,708,1/1/2008,N,6/1/2033,15380,0,1,O,90,45,140000,90,7.05,R,Y,FIX30,NY,SF,14000,N,306,2,Other sellers,"CITIMORTGAGE,INC"
F103Q2573207,644,9/1/2005,N,6/1/2033,13644,0,1,O,100,47,156000,79,6.4,C,Y,FIX30,MD,SF,20900,C,334,2,Other sellers,"CITIMORTGAGE,INC"
F103Q2573209,697,9/1/2005,N,6/1/2033,41940,0,1,O,51,46,232000,49,6.05,C,Y,FIX30,CA,SF,95100,C,334,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573227,582,9/1/2005,N,5/1/2033,42340,0,1,O,94,53,87000,94,7.4,B,N,FIX30,GA,SF,31400,N,333,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573240,730,10/1/2005,N,7/1/2033,12060,0,1,O,87,40,83000,87,7,R,N,FIX30,GA,SF,30300,C,334,1,Other sellers,"CITIMORTGAGE,INC"
F103Q2573274,607,5/1/2006,N,6/1/2033,21340,0,1,O,79,50,47000,79,8.3,C,N,FIX30,TX,SF,79900,C,326,2,Other sellers,"CITIMORTGAGE,INC"
F103Q3631650,780,1/1/2005,N,12/1/2034,37860,0,1,O,80,30,114000,80,6,R,N,FIX30,FL,SF,32500,P,360,2,Other sellers,Other servicers
F103Q3631712,723,2/1/2005,N,1/1/2035,36740,0,1,S,50,33,140000,50,5.75,R,N,FIX30,FL,PU,34700,P,360,1,Other sellers,NATLCITYMTGECO
F103Q3631727,740,1/1/2005,N,9/1/2033,,35,1,O,92,27,77000,92,6.375,R,N,FIX30,NC,MH,27200,P,345,2,Other sellers,Other servicers
F103Q3634505,721,2/1/2005,N,1/1/2035,45220,0,1,O,63,64,174000,63,5.5,R,N,FIX30,FL,SF,32300,P,360,1,Other sellers,Other servicers
F103Q3634530,674,1/1/2005,N,12/1/2034,30460,30,1,O,95,48,214000,95,6.375,T,N,FIX30,KY,SF,40300,N,360,2,Other sellers,Other servicers
