loan_seq_number,credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mortgage_insurance_percentage,number_of_units,occupancy_status,original_combined_ltv,original_dti_ratio,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_flag,product_type,property_state,property_type,postal_code,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name
F101Q3404172,653,8/1/2005,N,9/1/2031,30140,0,1,O,74,28,155000,74,5.625,R,N,FIX30,PA,SF,17000,P,314,2,Other sellers,Other servicers
F101Q3404237,726,4/1/2006,N,9/1/2032,40060,0,1,O,33,23,73000,33,6.25,R,N,FIX30,VA,SF,22500,P,318,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F101Q3404247,683,8/1/2006,N,2/1/2032,11020,0,1,O,51,41,71000,51,7.025,R,N,FIX30,PA,SF,16600,C,307,1,Other sellers,Other servicers
F101Q3404248,746,9/1/2006,N,12/1/2031,44300,0,1,O,74,26,154000,74,6.905,R,N,FIX30,PA,PU,16800,P,304,2,Other sellers,Other servicers
F101Q3404271,763,4/1/2005,Y,10/1/2031,25540,12,1,O,82,20,206000,82,5.875,R,N,FIX30,CT,SF,6400,P,319,2,Other sellers,Other servicers
F101Q3404296,673,10/1/2006,N,12/1/2032,22420,0,1,O,89,31,293000,89,6.5,R,N,FIX30,MI,CO,48400,P,315,1,Other sellers,Other servicers
F101Q3404351,786,12/1/2005,N,10/1/2031,34980,12,1,O,79,21,66000,79,6,R,N,FIX30,TN,SF,37200,N,311,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q3404672,756,9/1/2005,N,9/1/2031,40380,0,1,O,71,,91000,71,4.48,R,N,FIX30,NY,SF,14600,C,313,2,HSBCMTGECORPUSA,Other servicers
F101Q3404697,588,5/1/2005,N,10/1/2031,12060,0,1,O,84,,85000,84,8.15,C,Y,FIX30,GA,SF,30100,C,318,2,Other sellers,"CITIMORTGAGE,INC"
F101Q3404700,571,12/1/2005,N,9/1/2031,19380,0,1,O,90,50,84000,84,7.65,C,Y,FIX30,OH,SF,45400,C,310,1,Other sellers,"CITIMORTGAGE,INC"
F101Q3404720,753,4/1/2006,N,10/1/2031,,0,1,O,70,40,66000,70,6.75,C,N,FIX30,TX,SF,78500,N,307,1,Other sellers,"CITIMORTGAGE,INC"
F101Q3404774,749,2/1/2011,,1/1/2041,40580,0,1,I,73,6,76000,73,7.5,R,N,FIX30,NC,SF,27800,N,360,1,Other sellers,Other servicers
F101Q3404775,783,3/1/2011,,2/1/2041,40580,0,2,I,68,17,131000,68,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q3404776,749,2/1/2011,,1/1/2041,40580,0,1,I,61,12,70000,61,7.5,R,N,FIX30,NC,SF,27800,N,360,1,Other sellers,Other servicers
F101Q3404777,749,2/1/2011,,1/1/2041,40580,0,1,I,61,10,53000,61,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q3404778,783,2/1/2011,,1/1/2041,40580,0,2,I,69,17,131000,69,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q3404779,,3/1/2011,,2/1/2041,,0,1,I,69,17,130000,69,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q3404780,783,2/1/2011,,1/1/2041,40580,0,2,I,67,17,130000,67,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q3404781,749,2/1/2011,,1/1/2041,,0,1,I,68,17,131000,68,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q4549508,641,1/1/2005,N,5/1/2032,33340,0,1,O,72,41,207000,72,5.875,R,N,FIX30,WI,SF,53000,P,329,2,Other sellers,Other servicers
F101Q4549515,713,1/1/2005,N,12/1/2034,20764,0,1,O,52,48,129000,52,5.875,T,N,FIX30,NJ,SF,8700,N,360,1,"FIRSTARBANK,NA",USBANKNA
F101Q4549516,702,2/1/2005,N,1/1/2035,18880,0,1,O,80,44,168000,80,5.625,T,N,FIX30,FL,SF,32500,C,360,2,CHASEMANHATTANMTGECO,CHASEHOMEFINANCELLC
F101Q4549517,738,1/1/2005,N,12/1/2034,39540,0,1,O,80,32,155000,80,5.625,T,N,FIX30,WI,SF,53100,N,360,1,CHASEMANHATTANMTGECO,Other servicers
F101Q4549536,712,2/1/2005,N,1/1/2035,38060,17,1,O,87,41,134000,87,5.625,T,N,FIX30,AZ,SF,85200,N,360,2,Other sellers,WASHINGTONMUTUALBANK
F101Q4549568,755,2/1/2005,N,1/1/2032,48424,0,1,O,39,26,195000,39,5.5,R,N,FIX30,FL,SF,33400,P,324,1,Other sellers,Other servicers
F101Q4549616,724,1/1/2005,N,9/1/2033,48424,0,1,O,79,34,296000,79,5.875,R,N,FIX30,FL,SF,33400,N,345,2,Other sellers,Other servicers
F101Q4549624,719,2/1/2005,N,1/1/2035,30700,0,1,O,80,40,104000,80,5.75,T,N,FIX30,NE,SF,68500,C,360,1,Other sellers,"WELLSFARGOBANK,NA"
F101Q4549728,753,4/1/2005,N,3/1/2032,,25,1,O,83,38,128000,83,6.125,R,N,FIX30,NY,SF,13400,N,324,2,Other sellers,Other servicers
F101Q4549729,691,5/1/2005,N,12/1/2031,46540,30,1,O,88,34,70000,88,6.125,R,N,FIX30,NY,SF,13400,P,320,2,Other sellers,Other servicers
F101Q4549891,672,8/1/2005,N,7/1/2035,,0,1,O,52,22,174000,52,5.6,R,N,FIX30,WA,SF,98500,P,360,2,Other sellers,Other servicers
F101Q4549914,740,9/1/2005,N,12/1/2031,29620,0,1,O,76,17,190000,76,5.75,R,N,FIX30,MI,SF,48800,P,316,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q4549922,771,12/1/2005,N,11/1/2035,14060,0,1,O,75,41,242000,75,5.75,T,N,FIX30,IL,SF,61700,C,360,1,Other sellers,WASHINGTONMUTUALBANK
F101Q4549923,650,11/1/2005,N,11/1/2031,,0,1,O,69,37,78000,69,6.125,R,N,FIX30,NC,SF,28300,N,313,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F101Q4549933,697,12/1/2005,N,11/1/2035,17980,12,1,O,81,38,92000,81,6,T,N,FIX30,GA,SF,31900,N,360,2,Other sellers,"WELLSFARGOBANK,NA"
F101Q4549943,704,1/1/2006,N,12/1/2031,46060,0,1,O,22,9,75000,22,6.625,T,N,FIX30,AZ,SF,85600,P,312,2,Other sellers,Other servicers
F101Q4549944,805,2/1/2006,N,1/1/2032,39540,0,1,O,71,9,151000,71,6.5,T,N,FIX30,WI,SF,53400,C,312,1,Other sellers,Other servicers
F101Q4549952,690,2/1/2006,N,1/1/2036,,0,1,O,80,42,215000,80,6.25,R,N,FIX30,VA,SF,22900,N,360,2,NATLCITYMTGECO,Other servicers
F101Q4549953,735,3/1/2006,N,1/1/2032,46540,0,1,O,70,34,154000,70,6.625,R,N,FIX30,NY,SF,13300,N,311,2,Other sellers,Other servicers
F101Q4550049,768,4/1/2006,N,11/1/2031,46140,0,1,O,75,39,145000,75,6.5,R,N,FIX30,OK,SF,74100,P,308,1,Other sellers,Other servicers
F101Q4550050,799,1/1/2006,N,12/1/2031,40420,0,1,O,64,38,79000,64,6.625,R,N,FIX30,IL,SF,61000,C,312,2,"FIRSTARBANK,NA",USBANKNA
F101Q4550058,790,9/1/2006,N,5/1/2032,11020,0,1,O,75,45,154000,75,6.905,R,N,FIX30,PA,SF,16600,N,309,2,Other sellers,Other servicers
F101Q4550211,795,1/1/2006,N,12/1/2031,,12,1,O,81,23,188000,81,6.25,R,N,FIX30,OH,PU,45800,P,312,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q4550212,790,11/1/2005,Y,11/1/2031,18140,0,1,O,76,44,105000,76,6.125,R,N,FIX30,OH,SF,43200,P,313,1,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q4550214,789,3/1/2006,N,1/1/2032,17140,0,1,O,40,41,137000,40,6.375,R,N,FIX30,OH,SF,45100,N,311,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q4550216,726,11/1/2006,N,1/1/2032,24340,0,1,O,58,35,70000,58,6.5,R,N,FIX30,MI,SF,49300,C,303,1,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q4550742,754,1/1/2007,Y,1/1/2032,26420,0,1,O,80,27,98000,57,6.71,B,Y,FIX30,TX,PU,77300,P,301,1,Other sellers,Other servicers
F101Q4550833,808,9/1/2005,N,11/1/2031,35644,0,1,O,81,,305000,77,4.5,R,N,FIX30,NY,SF,10500,P,315,2,HSBCMTGECORPUSA,Other servicers
F101Q4550834,741,9/1/2005,N,12/1/2031,35004,0,1,O,95,,228000,89,4.5,R,N,FIX30,NY,SF,11700,P,316,2,HSBCMTGECORPUSA,Other servicers
F101Q4550879,758,4/1/2005,N,2/1/2032,23844,0,1,O,84,25,238000,53,5.75,R,N,FIX30,IN,SF,46300,C,323,2,Other sellers,Other servicers
F101Q4550906,615,7/1/2006,N,1/1/2032,30020,0,1,O,72,50,37000,70,7.35,C,Y,FIX30,OK,SF,73500,C,307,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550910,684,10/1/2005,N,10/1/2031,25620,0,1,O,88,,109000,88,7.75,C,Y,FIX30,MS,SF,39400,C,313,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550912,716,4/1/2005,N,12/1/2031,38940,0,1,O,89,,156000,87,7.2,C,Y,FIX30,FL,SF,34900,C,321,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550918,624,7/1/2006,N,3/1/2032,12060,0,1,O,57,,90000,55,6.75,C,Y,FIX30,GA,SF,30000,P,309,1,Other sellers,"CITIMORTGAGE,INC"
F101Q4550921,680,1/1/2007,N,1/1/2032,12060,0,1,O,76,,171000,73,6.9,C,Y,FIX30,GA,SF,30000,C,301,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550922,645,4/1/2005,N,1/1/2032,33460,0,1,O,63,,78000,63,6.9,C,Y,FIX30,MN,SF,55300,C,322,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550923,674,2/1/2005,N,12/1/2031,16860,0,2,O,95,,102000,93,7.9,C,Y,FIX30,TN,SF,37400,C,323,1,Other sellers,"CITIMORTGAGE,INC"
F101Q4550928,658,4/1/2006,N,1/1/2032,,0,1,O,85,,64000,82,7.35,C,Y,FIX30,NC,SF,27800,C,310,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550936,664,4/1/2006,N,1/1/2032,23844,0,1,O,91,,91000,87,8.9,C,Y,FIX30,IN,SF,46300,C,310,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550951,690,6/1/2005,N,11/1/2031,,0,1,O,95,,86000,92,7.75,C,N,FIX30,NC,SF,28300,P,318,2,Other sellers,"CITIMORTGAGE,INC"
F101Q4550963,636,6/1/2005,N,11/1/2031,37964,0,1,O,79,,37000,79,6.95,C,N,FIX30,PA,SF,19100,C,318,1,Other sellers,"CITIMORTGAGE,INC"
F102Q1386576,754,2/1/2005,N,2/1/2032,33340,0,1,O,78,43,142000,78,6,R,N,FIX30,WI,SF,53000,P,325,1,Other sellers,Other servicers
F102Q1386655,751,1/1/2005,N,2/1/2032,17140,25,1,O,85,39,78000,85,5.875,R,N,FIX30,OH,CO,45200,N,326,1,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F102Q1386656,712,2/1/2005,N,4/1/2032,,0,1,O,75,30,75000,75,6,R,N,FIX30,IL,SF,62900,N,327,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F102Q1386657,686,1/1/2005,N,3/1/2032,,0,1,O,57,24,91000,57,5.875,R,N,FIX30,KY,SF,42400,C,327,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F102Q1386682,726,3/1/2005,N,2/1/2035,12060,25,1,O,90,37,68000,90,5.625,T,N,FIX30,GA,SF,31800,P,360,1,Other sellers,"WELLSFARGOBANK,NA"
F102Q1386688,733,3/1/2005,N,2/1/2032,36740,0,1,O,45,39,154000,45,6.125,R,N,FIX30,FL,PU,32700,N,324,2,Other sellers,Other servicers
F102Q1386699,805,3/1/2005,N,4/1/2032,45780,0,1,O,50,15,51000,50,5.875,R,N,FIX30,OH,SF,43500,N,326,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F102Q1386701,697,4/1/2005,N,3/1/2035,,0,1,O,75,52,198000,75,6.125,T,N,FIX30,VA,SF,23300,N,360,2,Other sellers,Other servicers
F102Q1386702,650,5/1/2005,N,4/1/2035,33124,0,1,O,80,40,216000,80,6.25,T,N,FIX30,FL,SF,33100,P,360,2,Other sellers,Other servicers
F102Q1386703,678,4/1/2005,N,3/1/2035,30780,12,1,O,85,34,90000,85,5.875,T,N,FIX30,AR,SF,72100,C,360,2,Other sellers,Other servicers
F102Q1386704,703,4/1/2005,N,3/1/2035,40140,0,1,O,77,50,359000,77,5.25,T,N,FIX30,CA,SF,92500,P,360,2,Other sellers,Other servicers
F102Q1386705,760,4/1/2005,N,3/1/2035,36084,0,1,O,31,49,260000,31,5.5,T,N,FIX30,CA,SF,94500,N,360,2,Other sellers,Other servicers
F102Q1386706,782,7/1/2005,N,3/1/2032,12700,0,1,O,46,11,122000,46,6.19,R,N,FIX30,MA,SF,2600,N,321,2,Other sellers,Other servicers
F102Q1386708,720,5/1/2005,N,4/1/2035,46060,0,1,O,72,52,213000,72,6.125,R,N,FIX30,AZ,SF,85700,N,360,2,NATLCITYMTGECO,NATLCITYMTGECO
F102Q1386749,785,5/1/2005,N,4/1/2035,31084,0,1,O,63,43,340000,63,5.25,T,N,FIX30,CA,SF,91300,C,360,2,Other sellers,"WELLSFARGOBANK,NA"
